source,target,weight
robingrantham,1sweetwhirl,1
robingrantham,twisty58,1
robingrantham,debbieskerten,1
robingrantham,karla_porter,1
susancosmos,lollydaskal,1
iorangetee,zacharyquinto,1
iorangetee,themightyfoz,1
iorangetee,paper_salesman,1
rhpritchard,java4two,1
rhpritchard,lalalalu,1
rhpritchard,wholefoods,1
rhpritchard,carolannb,1
rhpritchard,mbholistic,1
rhpritchard,quotesrcool,1
rhpritchard,mystic23,1
manifestintent,esoterismo,1
manifestintent,dorothyned,1
manifestintent,weizenbaum,1
manifestintent,writinginrain,1
manifestintent,carmilla5,1
manifestintent,awakeningstweet,1
manifestintent,spsweetsunshine,1
gr33ndata,ircpresident,1
gr33ndata,nohaatef,1
gr33ndata,oso,1
gr33ndata,paulissima,1
gr33ndata,placeb0,1
gr33ndata,sierragoddess,1
gr33ndata,sylwiapresley,1
gr33ndata,technoemedia,1
gr33ndata,tercowas,1
gr33ndata,zeinobia,1
gr33ndata,zozo2k3,1
shaggylive,coachkiki,1
shaggylive,moanasaves,1
jhillstephens,charicemaniacs,2
jhillstephens,ciaobella50,2
jhillstephens,shonuffsheree,1
jhillstephens,ashleygreen,4
jhillstephens,donaldhardycrs,3
jhillstephens,philharrison,2
midnightmovie73,aaronbyrnes,3
u4euh,jesus_,1
u4euh,alauderdale,1
u4euh,dell0717,1
u4euh,trudi1,1
u4euh,celebsidedish,1
u4euh,paceset9999,1
u4euh,buf,1
bob_williamson,zerogreenhouse,1
bob_williamson,simplygoinggrn,1
bob_williamson,lauratoogood,1
bob_williamson,randyallen,1
bob_williamson,prosperitygal,1
urbanperspectiv,oriole2,1
dell0717,jesus_getting,1
dell0717,alauderdale,1
dell0717,trudi1,1
dell0717,celebsidedish,1
dell0717,paceset9999,1
dell0717,buffalopine,1
dell0717,kat24k,1
dell0717,mzlcherry,1
ruth_less1,michaeldhorn,2
susancosmos,iconic88,2
susancosmos,znatrainer,2
jhillstephens,shonuffshereepr,1
jhillstephens,filipalinhares,1
jaxlicurse,edwinsng,2
jaxlicurse,jacquelinev,2
jaxlicurse,modelsupplies,2
jaxlicurse,kimsherrell,2
jaxlicurse,teradoll,2
jaxlicurse,hawaiiankiko,2
jaxlicurse,helengrant,2
jaxlicurse,princesz22,2
withoutemotion,java4two,2
withoutemotion,web,2
withoutemotion,jackinchicago,2
withoutemotion,studentofsucces,2
withoutemotion,lorimoreno,2
withoutemotion,thediamondcoach,2
hortovanyi,djskee,2
hortovanyi,alyssa_milano,2
hortovanyi,gregorycollins,2
hortovanyi,time,2
hortovanyi,lebrun,2
hortovanyi,mswindows,2
withoutemotion,donaldhardycrs,2
withoutemotion,brendasawjesus,2
withoutemotion,holymully,2
howtogetback,oldskhool,2
howtogetback,thirstyfishinfo,2
howtogetback,bosanski,2
